President,Birthdate,Ordination,Death,Announcements,Groundbreakings,Dedications
Joseph Smith,23-Dec-1805,6-Apr-1830,27-Jun-1844,5,3,1
Brigham Young,1-Jun-1801,27-Dec-1847,29-Aug-1877,4,4,2
John Taylor,1-Nov-1808,10-Oct-1880,25-Jul-1887,0,0,1
Wilford Woodruff,1-Mar-1807,7-April-1889,2-Sept-1898,0,0,2
Lorenzo Snow,3-Apr-1814,13-Sept-1898,10-Oct-1901,0,0,0
Joseph F Smith,13-Nov-1838,17-Oct-1901,19-Nov-1918,2,2,0
Heber J Grant,22-Nov-1856,23-Nov-1918,14-May-1945,3,2,3
George Albert Smith,4-Apr-1870,21-May-1945,4-Apr-1951,0,0,1
David O McKay,8-Sep-1873,9-Apr-1951,18-Jan-1970,7,8,5
Joseph Fielding Smith,19-Jul-1876,23-Jan-1970,2-Jul-1972,0,0,2
Harold B Lee,28-Mar-1899,7-Jul-1972,26-Dec-1973,0,0,0
Spencer W Kimball,28-Mar-1895,30-Dec-1973,5-Nov-1985,31,25,21
Ezra Taft Benson,4-Aug-1899,10-Nov-1985,30-May-1994,9,10,9
Howard W Hunter,14-Nov-1907,5-Jun-1994,3-Mar-1995,3,1,2
Gordon B Hinckley,23-Jun-1910,12-Mar-1995,27-Jan-2008,79,81,77
Thomas S Monson,21-Aug-1927,3-Feb-2008,2-Jan-2018,45,37,35
Russell M Nelson,9-Sep-1924,14-Jan-2018,N/A,100,54,14
