Name,Announced,Groundbreaking,Dedication,Sealing,SQFT
Aba Nigeria Temple,2-Apr-2000,23-Feb-2002,7-Aug-2005,2,11500
Accra Ghana Temple,16-Feb-1998,16-Nov-2001,11-Jan-2004,2,17500
Adelaide Australia Temple,17-Mar-1999,29-May-1999,15-Jun-2000,2,10700
Albuquerque New Mexico Temple,4-Apr-1997,20-Jun-1998,5-Mar-2000,3,34245
Anchorage Alaska Temple,4-Oct-1997,17-Apr-1998,9-Jan-1999,1,11937
Apia Samoa Temple,15-Oct-1977,19-Feb-1981,5-Aug-1983,2,18691
Arequipa Peru Temple,6-Oct-2012,4-Mar-2017,15-Dec-2019,2,26969
Asuncion Paraguay Temple,2-Apr-2000,3-Feb-2001,19-May-2002,2,11906
Atlanta Georgia Temple,2-Apr-1980,7-Mar-1981,1-Jun-1983,4,34500
Barranquilla Colombia Temple,1-Oct-2011,20-Feb-2016,9-Dec-2018,2,24000
Baton Rouge Louisiana Temple,14-Oct-1998,8-May-1999,16-Jul-2000,2,10890
Belem Brazil Temple,3-Apr-2016,17-Aug-2019,20-Nov-2022,0,0
Bern Switzerland Temple,1-Jul-1952,5-Aug-1953,11-Sep-1955,7,35546
Billings Montana Temple,30-Aug-1996,30-Mar-1998,20-Nov-1999,3,33800
Birmingham Alabama Temple,11-Sep-1998,9-Oct-1999,3-Sep-2000,2,10700
Bismarck North Dakota Temple,29-Jul-1998,17-Oct-1998,19-Sep-1999,2,10700
Bogota Colombia Temple,7-Apr-1984,26-Jun-1993,24-Apr-1999,3,53500
Boise Idaho Temple,31-Mar-1982,18-Dec-1982,25-May-1984,4,35868
Boston Massachusetts Temple,30-Sep-1995,13-Jun-1997,1-Oct-2000,4,69600
Bountiful Utah Temple,2-Feb-1990,2-May-1992,8-Jan-1995,8,104000
Brigham City Utah Temple,3-Oct-2009,31-Jul-2010,23-Sep-2012,3,36000
Brisbane Australia Temple,20-Jul-1998,26-May-2001,15-Jun-2003,2,10700
Buenos Aires Argentina Temple,2-Apr-1980,20-Apr-1983,17-Jan-1986,3,30659
Calgary Alberta Temple,4-Oct-2008,15-May-2010,28-Oct-2012,3,33000
Campinas Brazil Temple,3-Apr-1997,1-May-1998,17-May-2002,3,48100
Caracas Venezuela Temple,30-Sep-1995,10-Jan-1999,20-Aug-2000,2,15332
Cardston Alberta Temple,27-Jun-1913,9-Nov-1913,26-Aug-1923,5,88562
Cebu Philippines Temple,18-Apr-2006,14-Nov-2007,13-Jun-2010,2,29556
Cedar City Utah Temple,6-Apr-2013,8-Aug-2015,10-Dec-2017,3,42657
Chicago Illinois Temple,1-Apr-1981,13-Aug-1983,9-Aug-1985,3,37062
Ciudad Juarez Mexico Temple,7-May-1998,9-Jan-1999,26-Feb-2000,2,10700
Cochabamba Bolivia Temple,13-Jan-1995,10-Nov-1996,30-Apr-2000,3,33302
Colonia Juarez Chihuahua Mexico Temple,4-Oct-1997,7-Mar-1998,6-Mar-1999,1,6800
Columbia River Washington Temple,2-Apr-2000,28-Oct-2000,18-Nov-2001,2,16880
Columbia South Carolina Temple,11-Sep-1998,5-Dec-1998,16-Oct-1999,2,10700
Columbus Ohio Temple,25-Apr-1998,12-Sep-1998,4-Sep-1999,2,10700
Concepcion Chile Temple,3-Oct-2009,17-Oct-2015,28-Oct-2018,2,23095
Copenhagen Denmark Temple,17-Mar-1999,24-Apr-1999,23-May-2004,2,25000
Cordoba Argentina Temple,4-Oct-2008,30-Oct-2010,17-May-2015,2,34369
Curitiba Brazil Temple,23-Aug-2002,10-Mar-2005,1-Jun-2008,2,27850
Dallas Texas Temple,1-Apr-1981,22-Jan-1983,19-Oct-1984,4,44207
Denver Colorado Temple,31-Mar-1982,19-May-1984,24-Oct-1986,5,29117
Detroit Michigan Temple,10-Aug-1998,10-Oct-1998,23-Oct-1999,2,10700
Draper Utah Temple,2-Oct-2004,5-Aug-2006,20-Mar-2009,5,58300
Durban South Africa Temple,1-Oct-2011,9-Apr-2016,16-Feb-2020,1,19860
Edmonton Alberta Temple,11-Aug-1998,27-Feb-1999,11-Dec-1999,2,10700
Fort Collins Colorado Temple,2-Apr-2011,24-Aug-2013,16-Oct-2016,3,42000
Fort Lauderdale Florida Temple,3-Oct-2009,18-Jun-2011,4-May-2014,3,30500
Fortaleza Brazil Temple,3-Oct-2009,15-Nov-2011,2-Jun-2019,2,36000
Frankfurt Germany Temple,1-Apr-1981,1-Jul-1985,28-Aug-1987,4,32895
Freiberg Germany Temple,9-Oct-1982,23-Apr-1983,29-Jun-1985,2,21500
Fresno California Temple,8-Jan-1999,20-Mar-1999,9-Apr-2000,2,10700
Fukuoka Japan Temple,7-May-1998,20-Mar-1999,11-Jun-2000,2,10700
Gilbert Arizona Temple,26-Apr-2008,13-Nov-2010,2-Mar-2014,7,85326
Guadalajara Mexico Temple,14-Apr-1999,12-Jun-1999,29-Apr-2001,2,10700
Guatemala City Guatemala Temple,1-Apr-1981,12-Sep-1982,14-Dec-1984,3,11610
Guayaquil Ecuador Temple,31-Mar-1982,10-Aug-1996,1-Aug-1999,3,45000
Halifax Nova Scotia Temple,7-May-1998,12-Oct-1998,14-Nov-1999,2,10700
Hamilton New Zealand Temple,17-Feb-1955,21-Dec-1955,20-Apr-1958,5,44212
Hartford Connecticut Temple,2-Oct-2010,17-Aug-2013,20-Nov-2016,2,32246
Helsinki Finland Temple,2-Apr-2000,29-Mar-2003,22-Oct-2006,2,16350
Hermosillo Sonora Mexico Temple,20-Jul-1998,5-Dec-1998,27-Feb-2000,2,10769
Hong Kong China Temple,3-Oct-1992,22-Jan-1994,26-May-1996,2,51921
Houston Texas Temple,30-Sep-1997,13-Jun-1998,26-Aug-2000,3,33970
Idaho Falls Idaho Temple,3-Mar-1937,19-Dec-1939,23-Sep-1945,7,85624
Indianapolis Indiana Temple,2-Oct-2010,29-Sep-2012,23-Aug-2015,2,34000
Johannesburg South Africa Temple,1-Apr-1981,27-Nov-1982,24-Aug-1985,3,19184
Jordan River Utah Temple,3-Feb-1978,9-Jun-1979,16-Nov-1981,16,148236
Kansas City Missouri Temple,4-Oct-2008,8-May-2010,6-May-2012,3,32000
Kinshasa Democratic Republic of the Congo Temple,1-Oct-2011,12-Feb-2016,14-Apr-2019,1,12000
Kona Hawaii Temple,7-May-1998,13-Mar-1999,23-Jan-2000,2,10700
Kyiv Ukraine Temple,20-Jul-1998,23-Jun-2007,29-Aug-2010,2,22184
Laie Hawaii Temple,3-Oct-1915,8-Feb-1916,27-Nov-1919,5,42100
Las Vegas Nevada Temple,7-Apr-1984,30-Nov-1985,16-Dec-1989,6,80350
Lima Peru Temple,1-Apr-1981,11-Sep-1982,10-Jan-1986,3,9600
Lisbon Portugal Temple,2-Oct-2010,5-Dec-2015,15-Sep-2019,1,23730
Logan Utah Temple,6-Oct-1876,18-May-1877,17-May-1884,11,119619
London England Temple,10-Aug-1953,27-Aug-1955,7-Sep-1958,8,42652
Los Angeles California Temple,6-Mar-1937,22-Sep-1951,11-Mar-1956,10,190614
Louisville Kentucky Temple,17-Mar-1999,29-May-1999,19-Mar-2000,2,10700
Lubbock Texas Temple,2-Apr-2000,4-Nov-2000,21-Apr-2002,2,16498
Madrid Spain Temple,4-Apr-1993,11-Jun-1996,19-Mar-1999,4,45800
Manaus Brazil Temple,23-May-2007,20-Jun-2008,10-Jun-2012,2,32032
Manhattan New York Temple,7-Aug-2002,23-Sep-2002,13-Jun-2004,2,20630
Manila Philippines Temple,1-Apr-1981,25-Aug-1982,25-Sep-1984,3,26683
Manti Utah Temple,25-Jun-1875,25-Apr-1877,21-May-1888,8,74792
Medford Oregon Temple,15-Mar-1999,20-May-1999,16-Apr-2000,2,10700
Melbourne Australia Temple,30-Oct-1998,20-Mar-1999,16-Jun-2000,2,10700
Memphis Tennessee Temple,17-Sep-1998,16-Jan-1999,23-Apr-2000,2,10890
Merida Mexico Temple,25-Sep-1998,16-Jan-1999,8-Jul-2000,2,10700
Meridian Idaho Temple,2-Apr-2011,23-Aug-2014,19-Nov-2017,5,67331
Mesa Arizona Temple,3-Oct-1919,25-Apr-1922,23-Oct-1927,6,113916
Mexico City Mexico Temple,3-Apr-1976,25-Nov-1979,2-Dec-1983,11,116642
Monterrey Mexico Temple,21-Dec-1995,4-Nov-2000,28-Apr-2002,2,16498
Montevideo Uruguay Temple,2-Nov-1998,27-Apr-1999,18-Mar-2001,2,10700
Monticello Utah Temple,4-Oct-1997,17-Nov-1997,26-Jul-1998,2,11225
Montreal Quebec Temple,6-Aug-1998,9-Apr-1999,4-Jun-2000,2,11550
Mount Timpanogos Utah Temple,3-Oct-1992,9-Oct-1993,13-Oct-1996,8,107240
